Федерация;Ссылка;Президент;Вице-президент;Генеральный секретарь;Исполнительный директор;Телефоны;Email-адреса;Адрес;Медали
Гольф;https://www.kazfedgolf.kz/;Давран Алиджанович Ибрагимов ;"Дуйсенов Қайрат Сансызбайұлы,   Сидоренко Илья Александрович
Тунгушбаев Ержан Алдарович";Мусин Ренат Дуйсенгазыевич;;77020231836;kgf@kazfedgolf.kz;РК, г.Алматы, 050034, микрорайон Мирас, 188 (гольф клуб Жайлау);
Гребля академическая/гребля на байдарках и каноэ/гребной слалом;Нет ссылки;Мергалиев Асламбек Амангельдинович ;Жасулан Кенжетаевич Тайтенов;Жасулан Кенжетаевич Тайтенов;;77172696453;kaik_federation@mail.ru;РК, г. Алматы, пр. Райымбека 174.;
Дзюдо;http://fdk.kz;Куанышбек Бакытбекович Есекеев;Бостан Ондашевич Джанбырбаев;Асхат Рашидович Житкеев;Имашев Айбек Асетович;1,54196E+11;ast_judo@list.ru;РК, г. Астана, пр. Туран 18, блок Б, офис 205;1  Золото, 2  Серебро, 3 Бронза
Каратэ;http://www.kazkarate.net;Евгений Константинович Пак;Жасталап Абдиканович Санауов;;;;kazkarate@mail.ru;РК, г. Астана, пр. Туран 18, офис 406/1;2 Бронза
Кёрлинг;Нет ссылки;Амантай Жанкеевич Куренбеков;;;;77476209916;kaz.curling@mail.ru;РК, г. Алматы, ул. Амангельды, 4;
Конный спорт;http://kazequestrian.kz;Баялиев Рустам Ахатханович ;;Леонид Зимарев;;77079173757;info@kazequestrian.kz;г. Астана, Нура район, шоссе Каркаралы, 1;
Коньковые виды спорта;http://skating.kz;Нысанбаев Ерлан Нуралиевич;Кенжеш Сарсекенова,  Петр Гамидов;Генеральный секретарь - Макишева Анжелика Анатольевна;Исполнительный директор - Бесбаев Олжас;1,5419E+11;skatingkaz@mail.ru;РК, г. Астана, пр. Кабанбай батыр, 47;2 Бронза
Лёгкая атлетика;https://kazathletics.kz;Рыпакова Ольга Сергеевна;"Кульгинов Алтай Сейдирович, Касымбек Женис Махмудович, Рыпаков Денис Сергеевич, Сматлаев Алмасхан Бауржанович
";Имандосов Жасарал Мырзамуратович;Кукин Павел Иванович;77172570036;info@kazathletics.kz;"РК,г. Астана, ул. Туран 59, легкоатлетический комплекс ""Qazaqstan""";2 Золото, 1 Серебро, 2 Бронза
Лыжные виды спорта;http://ccsf.kz;Диас Тулеутаевич Сулейменов;"Карсыбеков Искандир Серикович, Смирнов Владимир Михайлович,
 Еркинбаев Ержан Маликович, Вервейкин  Андрей Юрьевич";Аскар Казбекович Валиев;Хананов Илхам Сунгатулович;77013050033;:skikz@hotmail.com;РК, 050040, г. Алматы,Бостандыкский район, улица Капарова, дом 167;1 Золото, 2 Серебро, 2 Бронза
Настольный теннис;http://www.ttfrk.kz;Данияр Рустэмович Абулгазин;Канагатов Елсияр Баймухамедович;Данил Вячеславович Пак;Ахметов Данияр Амантаевич;77172280025;office@ttrk.kz, office@ttfrk.kz;РК, г. Астана, пр.Кабанбай батыра, 47/1;
Парусный спорт;Нет ссылки;Абил Дауылович Шомбылов;;Олег Николаевич Куливацкий;;77772269411;sailing.kaz@gmail.com;"РК,Алматинская область г. Капшагай, 1 мкр-н, дом 20, кв 20;";
Регби;http://www.kaz-rugby.kz;Шарлапаев Канат Бисимбаевич;;Джартыбаева Айгуль Муратхановна;;77017402397;official@qazaqstan-rugby.kz;РК, г. Алматы, проспект Абая 157, офис 28;
Санный спорт;Нет ссылки;Не найден;;Рустам Фархатович Аюпов;;1,5429E+11;inn70inn70@mail.ru;РК, г. Алматы, ул. Фонвизина 30;
Скейтбординг;https://kazskate.kz;Рахмет Жандос Канатулы;;Зайцева Светлана Анатольевна;;77025553333; archery.kaz@gmail.com;Не найдено;
Современное пятиборье;http://pentathlon.kz;Берик Мажитович Имашев;Ануар Маликович Малик;;;77051856366;federation@pentathlon.kz;Республика Казахстан, г. Астана, пр. Туран 18, блок Б, офис 303;1 Золото
Спортивное скалолазание;https://mountain.kz/ru/;Нурсултан Нурланович Шоканов;;Алдонгаров Нурсултан Жаксылыкович;;77272916006;office@thefmsc.kz;РК,г. Алматы, ул. Конаева 41/49;
Спортивные танцы;https://www.fstrk.kz;Байжанов Кабдулла Мухатжанович;;Якуба Максим Владимирович;;;info@fstrk.kz;Республика  Казахстан, г. Астана, ул. Анет Баба 13/1 кв.49;
Стрельба из лука;http://archerykz.kz;Акжанов Айдос Амангелдиевич;Гумаров Канат Жакыбалиевич;Тыртыкаева Айнур Сериковна;;77017712661;;РК, г. Астана, ул. Туран 18 блок Б, офис 704;
Стрельба стендовая/пулевая;http://www.shooting-sports.kz;Асылов Берик Ногаевич;"Тимур Ризабекович Исатаев, Анвар Садуллаевич Юнсуметов, 
Нурдали Бекзадаевич Уразалиев";Олег Владимирович Почивалов;Юнусметов Анвар Садуллаевич;;fspsrk@mail.ru;Республика Казахстан, город Шымкент, проспект Жибек Жолы, д.43.;2 Серебро, 2 Бронза
Таеквондо;http://kaztkd.kz;Кудрет Шамиев Игнатович;Карашашев Айзат Манатович;Садыков Арал Алиевич;;7225662505;office@kaztkd.kz;г. Астана, пр. Кабанбай батыр, 47, ледовый дворец «Алау», 4 этаж;1 Бронза
Теннис;http://www.ktf.kz;Булат Жамитович Утемуратов;Доскараев Диас Бауржанович;;Дейв Майли, Ринат Даиров;77172738301;info@ktf.kz;Республика Казахстан, 010000, г. Астана, пр. Кабанбай батыра, 6/1, бизнес-центр «Каскад», 8-й этаж;
Триатлон;http://triathlon.org.kz;Адильбеков Даурен Зекенович;Соловьев Юрий Викторович;Стрижак Дмитрий Александрович;;77022107123;info@triathlon.org.kz;Maison du Sport International, Av. de Rhodanie 54 , Lausanne CH -1007, Switzerland;
Тяжёлая атлетика;http://wfrk.kz;Гаджи Шапиевич Гаджиев;;Астамирова Мадина Нуржановна;Адамбаев Руслан Айкалиевич;1,54885E+11;office@wfrk.kz;РК, г. Астана, район Есиль,пр. Туран д.18, блок Б. каб. 203;1 Золото, 4  Серебро, 6 Бронза
Фехтование;http://www.kazfencing.com;Мирбулат Гайсинович Абуов;Мусайбеков Сакен Жунусбекович;Грязнов Дмитрий Игоревич;;77756661811; office@kazfencing.com;"РК, г. Алматы, пр.Достык д.132, офис 2;";
Фигурное катание;https://kazfsu.kz/;Гуськов Юрий Петрович;;Брежнева Александра Александровна;Садвакасова Надежда Леонидовна;;kazfsu@gmail.com;г. Астана, пр. Кабанбай батыр, 47 ;1 Бронза
Футбол;http://www.kff.kz;Омаров Марат Талгатович ;Лория Давид Григорьевич;Хамитжанов Саян Жаксыгельдиевич;;1,54885E+11;info@kff.kz, kense@kff.kz;РК, г.Астана, пр. Б.Момышулы 5 А;
Хоккей на траве;Нет ссылки;Сексенбаев Берикказы Толеубекович;Гани Жарасович Тажиев;Серик Ахметович Калимбаев;;77272115607;;РК, г. Алматы, ул. Мауленова 111, оф 2;
Хоккей с шайбой;https://icehockey.kz;Аскар Узакпаевич Мамин;;;Амиров Амангелды Толегенович;77172725608;office@icehockey.kz;РК,Астана, проспект Сарыарка, 4, (Radisson Hotel Astana), 5-й этаж, офис 501 (приёмная);
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Скейтбординг;https://www.worldskate.org;Сабатино Араку;+41 21 6011877;;;;;;
 ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
,info@worldskate.org,Не найдено,Лозанна;" Швейцария""";;;;;;;;
Современное пятиборье;http://www.uipmworld.org;Роб Сталл;+377 97 77 85 55;uipm@pentathlon.org;Stade Louis II – Entrée C, 19 avenue des Castelans, MC-98000 Monaco;Монте Карло, Монако;;;
Спортивное скалолазание;http://www.ifsc-climbing.org;МаркоМарияСколарис(Marco Maria Scolaris, ITA);390 113 853 995;;;;;;
 ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
,,Via Carlo Matteucci 4;10143; Torino;" Italy""";Турин, Италия;;;;;
Спортивные танцы;https://www.worlddancesport.org;Шон Тей;+41 21 601 17 11;office@wdsf.org;Не найдено;Лозанна, Швейцария;;;
Стрельба из лука;https://worldarchery.org/;проф.Угур Эрденер (prof. Ugur Erdener, TUR);+41 21 614 3050;;;;;;
,info@archery.org;" archery.kaz@gmail.com""";Не найдено;Лозанна, Швейцария;;;;;;
Стрельба стендовая/пулевая;http://www.issf-sports.org;Лучано Росси;+49 89 544 355 0;munich@issf-sports.org;SSF Headquarters, Widenmayerstrasse 16, 80538 Munich, Germany;Германия, Мюнхен.;;;
Таеквондо;http://www.worldtaekwondo.org/;Чунгвон Чо (Dr. Chungwon Choue, KOR);;wtf@wtf.org;5th Fl., Kolon Bldg, 15 Hyoja-ro, Jongno-gu, Seoul, Korea, 03044;Куккивон, Сеул (Корея);;;
Теннис;http://www.itftennis.com;Дэвид Хаггерти (David Haggerty, USA);+44 2088 78 64 64;itf@itftennis.com;Bank Lane, Roehampton, London SW15 5XZ, Grande-Bretagne;Лондон, Великобритания;;;
Триатлон;http://www.triathlon.org;Марисоль Касадо (Marisol Casado, ESP);;ituhdg@triathlon.org;Не найдено;Швейцария, Лозанна;;;
Тяжёлая атлетика;http://www.iwf.net/;Мохаммед Джалуд Аль-Шаммари;-216013186;;;;;;
,iwf@iwfnet.net,Av. de Rhodanie 54,Лозанна;" Швейцария""";;;;;;;;
Фехтование;http://www.fie.org/;временный президент Эммануэль Кациадакис;+41 21 320 31 15;info@fie.ch, office@kazfencing.com;Maison du Sport International, Av. de Rhodanie 54 , Lausanne CH -1007, Switzerland;Лозанна, Швейцария;;;
Фигурное катание;https://www.isu.org/;Ким Джэёль (Kim Jae-youl, KOR);+41 21 612 66 66;kazfsu@gmail.com;Не найдено;Лозанна, Швейцария;;;
Футбол;http://www.fifa.com;Джанни Инфантино(GianniInfantino, SUI);+41-(0)43 222 7777;contact@fifa.org;Strasse 20, P.O. Box 8044 Zurich, Switzerland;Цюрих, Швейцария;;;
Хоккей на траве;http://www.fih.ch;Таяб Икрам (Mr. Tayyab IKRAM);+41 21 641 06 06;info@fih.ch;Rue du Valentin 61, CH-1004 Lausanne, Switzerland;Лозанна, Швейцария;;;
Хоккей с шайбой;http://www.iihf.com/;Люк Тардиф (Luc Tardif);;office@iihf.com;Brandschenkestrasse 50, Postfach 1817, 8027 Zurich, Switzerland;Цюрих (Швейцария);;;
